At time 2022-05-01T00:00:00, tele=1, target=167, exp_time=1
At time 2022-05-01T01:05:00, tele=1, target=190, exp_time=1
At time 2022-05-01T01:06:00, tele=2, target=190, exp_time=1
At time 2022-05-01T01:07:00, tele=3, target=190, exp_time=1
At time 2022-05-01T01:08:00, tele=4, target=190, exp_time=1
At time 2022-05-01T01:09:00, tele=5, target=190, exp_time=1
At time 2022-05-01T01:10:00, tele=1, target=183, exp_time=1
At time 2022-05-01T01:11:00, tele=2, target=183, exp_time=1
At time 2022-05-01T01:12:00, tele=3, target=183, exp_time=1
At time 2022-05-01T01:13:00, tele=4, target=183, exp_time=1
At time 2022-05-01T01:14:00, tele=5, target=183, exp_time=1
At time 2022-05-01T01:10:00, tele=1, target=191, exp_time=1
At time 2022-05-01T01:11:00, tele=2, target=191, exp_time=1
At time 2022-05-01T01:12:00, tele=3, target=191, exp_time=1
At time 2022-05-01T01:13:00, tele=4, target=191, exp_time=1
At time 2022-05-01T01:14:00, tele=5, target=191, exp_time=1
At time 2022-05-01T01:15:00, tele=1, target=419, exp_time=1
At time 2022-05-01T01:16:00, tele=2, target=419, exp_time=1
At time 2022-05-01T01:17:00, tele=3, target=419, exp_time=1
At time 2022-05-01T01:18:00, tele=4, target=419, exp_time=1
At time 2022-05-01T01:19:00, tele=5, target=419, exp_time=1
At time 2022-05-01T01:15:00, tele=1, target=425, exp_time=1
At time 2022-05-01T01:16:00, tele=2, target=425, exp_time=1
At time 2022-05-01T01:17:00, tele=3, target=425, exp_time=1
At time 2022-05-01T01:18:00, tele=4, target=425, exp_time=1
At time 2022-05-01T01:19:00, tele=5, target=425, exp_time=1
At time 2022-05-01T01:20:00, tele=1, target=420, exp_time=1
At time 2022-05-01T01:21:00, tele=2, target=420, exp_time=1
At time 2022-05-01T01:22:00, tele=3, target=420, exp_time=1
At time 2022-05-01T01:23:00, tele=4, target=420, exp_time=1
At time 2022-05-01T01:24:00, tele=5, target=420, exp_time=1
At time 2022-05-01T01:20:00, tele=1, target=426, exp_time=1
At time 2022-05-01T01:21:00, tele=2, target=426, exp_time=1
At time 2022-05-01T01:22:00, tele=3, target=426, exp_time=1
At time 2022-05-01T01:23:00, tele=4, target=426, exp_time=1
At time 2022-05-01T01:24:00, tele=5, target=426, exp_time=1
At time 2022-05-01T01:25:00, tele=1, target=427, exp_time=1
At time 2022-05-01T01:26:00, tele=2, target=427, exp_time=1
At time 2022-05-01T01:27:00, tele=3, target=427, exp_time=1
At time 2022-05-01T01:28:00, tele=4, target=427, exp_time=1
At time 2022-05-01T01:29:00, tele=5, target=427, exp_time=1
At time 2022-05-01T01:25:00, tele=1, target=428, exp_time=1
At time 2022-05-01T01:26:00, tele=2, target=428, exp_time=1
At time 2022-05-01T01:27:00, tele=3, target=428, exp_time=1
At time 2022-05-01T01:28:00, tele=4, target=428, exp_time=1
At time 2022-05-01T01:29:00, tele=5, target=428, exp_time=1
At time 2022-05-01T01:30:00, tele=1, target=174, exp_time=1
At time 2022-05-01T01:31:00, tele=2, target=174, exp_time=1
At time 2022-05-01T01:32:00, tele=3, target=174, exp_time=1
At time 2022-05-01T01:33:00, tele=4, target=174, exp_time=1
At time 2022-05-01T01:34:00, tele=5, target=174, exp_time=1
At time 2022-05-01T01:30:00, tele=1, target=429, exp_time=1
At time 2022-05-01T01:31:00, tele=2, target=429, exp_time=1
At time 2022-05-01T01:32:00, tele=3, target=429, exp_time=1
At time 2022-05-01T01:33:00, tele=4, target=429, exp_time=1
At time 2022-05-01T01:34:00, tele=5, target=429, exp_time=1
At time 2022-05-01T01:35:00, tele=1, target=421, exp_time=1
At time 2022-05-01T01:36:00, tele=2, target=421, exp_time=1
At time 2022-05-01T01:37:00, tele=3, target=421, exp_time=1
At time 2022-05-01T01:38:00, tele=4, target=421, exp_time=1
At time 2022-05-01T01:39:00, tele=5, target=421, exp_time=1
At time 2022-05-01T01:35:00, tele=1, target=430, exp_time=1
At time 2022-05-01T01:36:00, tele=2, target=430, exp_time=1
At time 2022-05-01T01:37:00, tele=3, target=430, exp_time=1
At time 2022-05-01T01:38:00, tele=4, target=430, exp_time=1
At time 2022-05-01T01:39:00, tele=5, target=430, exp_time=1
At time 2022-05-01T01:40:00, tele=1, target=431, exp_time=1
At time 2022-05-01T01:41:00, tele=2, target=431, exp_time=1
At time 2022-05-01T01:42:00, tele=3, target=431, exp_time=1
At time 2022-05-01T01:43:00, tele=4, target=431, exp_time=1
At time 2022-05-01T01:44:00, tele=5, target=431, exp_time=1
At time 2022-05-01T01:40:00, tele=1, target=432, exp_time=1
At time 2022-05-01T01:41:00, tele=2, target=432, exp_time=1
At time 2022-05-01T01:42:00, tele=3, target=432, exp_time=1
At time 2022-05-01T01:43:00, tele=4, target=432, exp_time=1
At time 2022-05-01T01:44:00, tele=5, target=432, exp_time=1
At time 2022-05-01T01:45:00, tele=1, target=433, exp_time=1
At time 2022-05-01T01:46:00, tele=2, target=433, exp_time=1
At time 2022-05-01T01:47:00, tele=3, target=433, exp_time=1
At time 2022-05-01T01:48:00, tele=4, target=433, exp_time=1
At time 2022-05-01T01:49:00, tele=5, target=433, exp_time=1
At time 2022-05-01T01:45:00, tele=1, target=434, exp_time=1
At time 2022-05-01T01:46:00, tele=2, target=434, exp_time=1
At time 2022-05-01T01:47:00, tele=3, target=434, exp_time=1
At time 2022-05-01T01:48:00, tele=4, target=434, exp_time=1
At time 2022-05-01T01:49:00, tele=5, target=434, exp_time=1
At time 2022-05-01T01:50:00, tele=1, target=435, exp_time=1
At time 2022-05-01T01:51:00, tele=2, target=435, exp_time=1
At time 2022-05-01T01:52:00, tele=3, target=435, exp_time=1
At time 2022-05-01T01:53:00, tele=4, target=435, exp_time=1
At time 2022-05-01T01:54:00, tele=5, target=435, exp_time=1
At time 2022-05-01T01:50:00, tele=1, target=436, exp_time=1
At time 2022-05-01T01:51:00, tele=2, target=436, exp_time=1
At time 2022-05-01T01:52:00, tele=3, target=436, exp_time=1
At time 2022-05-01T01:53:00, tele=4, target=436, exp_time=1
At time 2022-05-01T01:54:00, tele=5, target=436, exp_time=1
At time 2022-05-01T01:55:00, tele=1, target=437, exp_time=1
At time 2022-05-01T01:56:00, tele=2, target=437, exp_time=1
At time 2022-05-01T01:57:00, tele=3, target=437, exp_time=1
At time 2022-05-01T01:58:00, tele=4, target=437, exp_time=1
At time 2022-05-01T01:59:00, tele=5, target=437, exp_time=1
At time 2022-05-01T01:55:00, tele=1, target=438, exp_time=1
At time 2022-05-01T01:56:00, tele=2, target=438, exp_time=1
At time 2022-05-01T01:57:00, tele=3, target=438, exp_time=1
At time 2022-05-01T01:58:00, tele=4, target=438, exp_time=1
At time 2022-05-01T01:59:00, tele=5, target=438, exp_time=1
At time 2022-05-01T02:00:00, tele=1, target=422, exp_time=1
At time 2022-05-01T02:01:00, tele=2, target=422, exp_time=1
At time 2022-05-01T02:02:00, tele=3, target=422, exp_time=1
At time 2022-05-01T02:03:00, tele=4, target=422, exp_time=1
At time 2022-05-01T02:04:00, tele=5, target=422, exp_time=1
At time 2022-05-01T02:00:00, tele=1, target=439, exp_time=1
At time 2022-05-01T02:01:00, tele=2, target=439, exp_time=1
At time 2022-05-01T02:02:00, tele=3, target=439, exp_time=1
At time 2022-05-01T02:03:00, tele=4, target=439, exp_time=1
At time 2022-05-01T02:04:00, tele=5, target=439, exp_time=1
At time 2022-05-01T02:05:00, tele=1, target=175, exp_time=1
At time 2022-05-01T02:06:00, tele=2, target=175, exp_time=1
At time 2022-05-01T02:07:00, tele=3, target=175, exp_time=1
At time 2022-05-01T02:08:00, tele=4, target=175, exp_time=1
At time 2022-05-01T02:09:00, tele=5, target=175, exp_time=1
At time 2022-05-01T02:05:00, tele=1, target=440, exp_time=1
At time 2022-05-01T02:06:00, tele=2, target=440, exp_time=1
At time 2022-05-01T02:07:00, tele=3, target=440, exp_time=1
At time 2022-05-01T02:08:00, tele=4, target=440, exp_time=1
At time 2022-05-01T02:09:00, tele=5, target=440, exp_time=1
At time 2022-05-01T02:10:00, tele=1, target=452, exp_time=1
At time 2022-05-01T02:11:00, tele=2, target=452, exp_time=1
At time 2022-05-01T02:12:00, tele=3, target=452, exp_time=1
At time 2022-05-01T02:13:00, tele=4, target=452, exp_time=1
At time 2022-05-01T02:14:00, tele=5, target=452, exp_time=1
At time 2022-05-01T02:10:00, tele=1, target=454, exp_time=1
At time 2022-05-01T02:11:00, tele=2, target=454, exp_time=1
At time 2022-05-01T02:12:00, tele=3, target=454, exp_time=1
At time 2022-05-01T02:13:00, tele=4, target=454, exp_time=1
At time 2022-05-01T02:14:00, tele=5, target=454, exp_time=1
At time 2022-05-01T02:15:00, tele=1, target=453, exp_time=1
At time 2022-05-01T02:16:00, tele=2, target=453, exp_time=1
At time 2022-05-01T02:17:00, tele=3, target=453, exp_time=1
At time 2022-05-01T02:18:00, tele=4, target=453, exp_time=1
At time 2022-05-01T02:19:00, tele=5, target=453, exp_time=1
At time 2022-05-01T02:15:00, tele=1, target=455, exp_time=1
At time 2022-05-01T02:16:00, tele=2, target=455, exp_time=1
At time 2022-05-01T02:17:00, tele=3, target=455, exp_time=1
At time 2022-05-01T02:18:00, tele=4, target=455, exp_time=1
At time 2022-05-01T02:19:00, tele=5, target=455, exp_time=1
At time 2022-05-01T02:20:00, tele=1, target=456, exp_time=1
At time 2022-05-01T02:21:00, tele=2, target=456, exp_time=1
At time 2022-05-01T02:22:00, tele=3, target=456, exp_time=1
At time 2022-05-01T02:23:00, tele=4, target=456, exp_time=1
At time 2022-05-01T02:24:00, tele=5, target=456, exp_time=1
At time 2022-05-01T02:20:00, tele=1, target=457, exp_time=1
At time 2022-05-01T02:21:00, tele=2, target=457, exp_time=1
At time 2022-05-01T02:22:00, tele=3, target=457, exp_time=1
At time 2022-05-01T02:23:00, tele=4, target=457, exp_time=1
At time 2022-05-01T02:24:00, tele=5, target=457, exp_time=1
At time 2022-05-01T02:25:00, tele=1, target=458, exp_time=1
At time 2022-05-01T02:26:00, tele=2, target=458, exp_time=1
At time 2022-05-01T02:27:00, tele=3, target=458, exp_time=1
At time 2022-05-01T02:28:00, tele=4, target=458, exp_time=1
At time 2022-05-01T02:29:00, tele=5, target=458, exp_time=1
At time 2022-05-01T02:25:00, tele=1, target=459, exp_time=1
At time 2022-05-01T02:26:00, tele=2, target=459, exp_time=1
At time 2022-05-01T02:27:00, tele=3, target=459, exp_time=1
At time 2022-05-01T02:28:00, tele=4, target=459, exp_time=1
At time 2022-05-01T02:29:00, tele=5, target=459, exp_time=1
At time 2022-05-01T02:30:00, tele=1, target=423, exp_time=1
At time 2022-05-01T02:31:00, tele=2, target=423, exp_time=1
At time 2022-05-01T02:32:00, tele=3, target=423, exp_time=1
At time 2022-05-01T02:33:00, tele=4, target=423, exp_time=1
At time 2022-05-01T02:34:00, tele=5, target=423, exp_time=1
At time 2022-05-01T02:30:00, tele=1, target=460, exp_time=1
At time 2022-05-01T02:31:00, tele=2, target=460, exp_time=1
At time 2022-05-01T02:32:00, tele=3, target=460, exp_time=1
At time 2022-05-01T02:33:00, tele=4, target=460, exp_time=1
At time 2022-05-01T02:34:00, tele=5, target=460, exp_time=1
At time 2022-05-01T02:35:00, tele=1, target=461, exp_time=1
At time 2022-05-01T02:36:00, tele=2, target=461, exp_time=1
At time 2022-05-01T02:37:00, tele=3, target=461, exp_time=1
At time 2022-05-01T02:38:00, tele=4, target=461, exp_time=1
At time 2022-05-01T02:39:00, tele=5, target=461, exp_time=1
At time 2022-05-01T02:35:00, tele=1, target=462, exp_time=1
At time 2022-05-01T02:36:00, tele=2, target=462, exp_time=1
At time 2022-05-01T02:37:00, tele=3, target=462, exp_time=1
At time 2022-05-01T02:38:00, tele=4, target=462, exp_time=1
At time 2022-05-01T02:39:00, tele=5, target=462, exp_time=1
At time 2022-05-01T02:40:00, tele=1, target=176, exp_time=1
At time 2022-05-01T02:41:00, tele=2, target=176, exp_time=1
At time 2022-05-01T02:42:00, tele=3, target=176, exp_time=1
At time 2022-05-01T02:43:00, tele=4, target=176, exp_time=1
At time 2022-05-01T02:44:00, tele=5, target=176, exp_time=1
At time 2022-05-01T02:40:00, tele=1, target=463, exp_time=1
At time 2022-05-01T02:41:00, tele=2, target=463, exp_time=1
At time 2022-05-01T02:42:00, tele=3, target=463, exp_time=1
At time 2022-05-01T02:43:00, tele=4, target=463, exp_time=1
At time 2022-05-01T02:44:00, tele=5, target=463, exp_time=1
At time 2022-05-01T02:45:00, tele=1, target=464, exp_time=1
At time 2022-05-01T02:46:00, tele=2, target=464, exp_time=1
At time 2022-05-01T02:47:00, tele=3, target=464, exp_time=1
At time 2022-05-01T02:48:00, tele=4, target=464, exp_time=1
At time 2022-05-01T02:49:00, tele=5, target=464, exp_time=1
At time 2022-05-01T02:45:00, tele=1, target=465, exp_time=1
At time 2022-05-01T02:46:00, tele=2, target=465, exp_time=1
At time 2022-05-01T02:47:00, tele=3, target=465, exp_time=1
At time 2022-05-01T02:48:00, tele=4, target=465, exp_time=1
At time 2022-05-01T02:49:00, tele=5, target=465, exp_time=1
At time 2022-05-01T02:50:00, tele=1, target=466, exp_time=1
At time 2022-05-01T02:51:00, tele=2, target=466, exp_time=1
At time 2022-05-01T02:52:00, tele=3, target=466, exp_time=1
At time 2022-05-01T02:53:00, tele=4, target=466, exp_time=1
At time 2022-05-01T02:54:00, tele=5, target=466, exp_time=1
At time 2022-05-01T02:50:00, tele=1, target=467, exp_time=1
At time 2022-05-01T02:51:00, tele=2, target=467, exp_time=1
At time 2022-05-01T02:52:00, tele=3, target=467, exp_time=1
At time 2022-05-01T02:53:00, tele=4, target=467, exp_time=1
At time 2022-05-01T02:54:00, tele=5, target=467, exp_time=1
At time 2022-05-01T02:55:00, tele=1, target=468, exp_time=1
At time 2022-05-01T02:56:00, tele=2, target=468, exp_time=1
At time 2022-05-01T02:57:00, tele=3, target=468, exp_time=1
At time 2022-05-01T02:58:00, tele=4, target=468, exp_time=1
At time 2022-05-01T02:59:00, tele=5, target=468, exp_time=1
At time 2022-05-01T02:55:00, tele=1, target=469, exp_time=1
At time 2022-05-01T02:56:00, tele=2, target=469, exp_time=1
At time 2022-05-01T02:57:00, tele=3, target=469, exp_time=1
At time 2022-05-01T02:58:00, tele=4, target=469, exp_time=1
At time 2022-05-01T02:59:00, tele=5, target=469, exp_time=1
At time 2022-05-01T03:00:00, tele=1, target=424, exp_time=1
At time 2022-05-01T03:01:00, tele=2, target=424, exp_time=1
At time 2022-05-01T03:02:00, tele=3, target=424, exp_time=1
At time 2022-05-01T03:03:00, tele=4, target=424, exp_time=1
At time 2022-05-01T03:04:00, tele=5, target=424, exp_time=1
At time 2022-05-01T03:00:00, tele=1, target=470, exp_time=1
At time 2022-05-01T03:01:00, tele=2, target=470, exp_time=1
At time 2022-05-01T03:02:00, tele=3, target=470, exp_time=1
At time 2022-05-01T03:03:00, tele=4, target=470, exp_time=1
At time 2022-05-01T03:04:00, tele=5, target=470, exp_time=1
At time 2022-05-01T03:05:00, tele=1, target=471, exp_time=1
At time 2022-05-01T03:06:00, tele=2, target=471, exp_time=1
At time 2022-05-01T03:07:00, tele=3, target=471, exp_time=1
At time 2022-05-01T03:08:00, tele=4, target=471, exp_time=1
At time 2022-05-01T03:09:00, tele=5, target=471, exp_time=1
At time 2022-05-01T03:05:00, tele=1, target=725, exp_time=1
At time 2022-05-01T03:06:00, tele=2, target=725, exp_time=1
At time 2022-05-01T03:07:00, tele=3, target=725, exp_time=1
At time 2022-05-01T03:08:00, tele=4, target=725, exp_time=1
At time 2022-05-01T03:09:00, tele=5, target=725, exp_time=1
At time 2022-05-01T03:10:00, tele=1, target=449, exp_time=1
At time 2022-05-01T03:11:00, tele=2, target=449, exp_time=1
At time 2022-05-01T03:12:00, tele=3, target=449, exp_time=1
At time 2022-05-01T03:13:00, tele=4, target=449, exp_time=1
At time 2022-05-01T03:14:00, tele=5, target=449, exp_time=1
At time 2022-05-01T03:10:00, tele=1, target=726, exp_time=1
At time 2022-05-01T03:11:00, tele=2, target=726, exp_time=1
At time 2022-05-01T03:12:00, tele=3, target=726, exp_time=1
At time 2022-05-01T03:13:00, tele=4, target=726, exp_time=1
At time 2022-05-01T03:14:00, tele=5, target=726, exp_time=1
At time 2022-05-01T03:15:00, tele=1, target=177, exp_time=1
At time 2022-05-01T03:16:00, tele=2, target=177, exp_time=1
At time 2022-05-01T03:17:00, tele=3, target=177, exp_time=1
At time 2022-05-01T03:18:00, tele=4, target=177, exp_time=1
At time 2022-05-01T03:19:00, tele=5, target=177, exp_time=1
At time 2022-05-01T03:15:00, tele=1, target=264, exp_time=1
At time 2022-05-01T03:16:00, tele=2, target=264, exp_time=1
At time 2022-05-01T03:17:00, tele=3, target=264, exp_time=1
At time 2022-05-01T03:18:00, tele=4, target=264, exp_time=1
At time 2022-05-01T03:19:00, tele=5, target=264, exp_time=1
At time 2022-05-01T03:20:00, tele=1, target=472, exp_time=1
At time 2022-05-01T03:21:00, tele=2, target=472, exp_time=1
At time 2022-05-01T03:22:00, tele=3, target=472, exp_time=1
At time 2022-05-01T03:23:00, tele=4, target=472, exp_time=1
At time 2022-05-01T03:24:00, tele=5, target=472, exp_time=1
At time 2022-05-01T03:20:00, tele=1, target=265, exp_time=1
At time 2022-05-01T03:21:00, tele=2, target=265, exp_time=1
At time 2022-05-01T03:22:00, tele=3, target=265, exp_time=1
At time 2022-05-01T03:23:00, tele=4, target=265, exp_time=1
At time 2022-05-01T03:24:00, tele=5, target=265, exp_time=1
At time 2022-05-01T03:25:00, tele=1, target=473, exp_time=1
At time 2022-05-01T03:26:00, tele=2, target=473, exp_time=1
At time 2022-05-01T03:27:00, tele=3, target=473, exp_time=1
At time 2022-05-01T03:28:00, tele=4, target=473, exp_time=1
At time 2022-05-01T03:29:00, tele=5, target=473, exp_time=1
At time 2022-05-01T03:25:00, tele=1, target=266, exp_time=1
At time 2022-05-01T03:26:00, tele=2, target=266, exp_time=1
At time 2022-05-01T03:27:00, tele=3, target=266, exp_time=1
At time 2022-05-01T03:28:00, tele=4, target=266, exp_time=1
At time 2022-05-01T03:29:00, tele=5, target=266, exp_time=1
At time 2022-05-01T03:30:00, tele=1, target=474, exp_time=1
At time 2022-05-01T03:31:00, tele=2, target=474, exp_time=1
At time 2022-05-01T03:32:00, tele=3, target=474, exp_time=1
At time 2022-05-01T03:33:00, tele=4, target=474, exp_time=1
At time 2022-05-01T03:34:00, tele=5, target=474, exp_time=1
At time 2022-05-01T03:30:00, tele=1, target=279, exp_time=1
At time 2022-05-01T03:31:00, tele=2, target=279, exp_time=1
At time 2022-05-01T03:32:00, tele=3, target=279, exp_time=1
At time 2022-05-01T03:33:00, tele=4, target=279, exp_time=1
At time 2022-05-01T03:34:00, tele=5, target=279, exp_time=1
At time 2022-05-01T03:35:00, tele=1, target=475, exp_time=1
At time 2022-05-01T03:36:00, tele=2, target=475, exp_time=1
At time 2022-05-01T03:37:00, tele=3, target=475, exp_time=1
At time 2022-05-01T03:38:00, tele=4, target=475, exp_time=1
At time 2022-05-01T03:39:00, tele=5, target=475, exp_time=1
At time 2022-05-01T03:35:00, tele=1, target=280, exp_time=1
At time 2022-05-01T03:36:00, tele=2, target=280, exp_time=1
At time 2022-05-01T03:37:00, tele=3, target=280, exp_time=1
At time 2022-05-01T03:38:00, tele=4, target=280, exp_time=1
At time 2022-05-01T03:39:00, tele=5, target=280, exp_time=1
At time 2022-05-01T03:40:00, tele=1, target=450, exp_time=1
At time 2022-05-01T03:41:00, tele=2, target=450, exp_time=1
At time 2022-05-01T03:42:00, tele=3, target=450, exp_time=1
At time 2022-05-01T03:43:00, tele=4, target=450, exp_time=1
At time 2022-05-01T03:44:00, tele=5, target=450, exp_time=1
At time 2022-05-01T03:40:00, tele=1, target=281, exp_time=1
At time 2022-05-01T03:41:00, tele=2, target=281, exp_time=1
At time 2022-05-01T03:42:00, tele=3, target=281, exp_time=1
At time 2022-05-01T03:43:00, tele=4, target=281, exp_time=1
At time 2022-05-01T03:44:00, tele=5, target=281, exp_time=1
At time 2022-05-01T03:45:00, tele=1, target=476, exp_time=1
At time 2022-05-01T03:46:00, tele=2, target=476, exp_time=1
At time 2022-05-01T03:47:00, tele=3, target=476, exp_time=1
At time 2022-05-01T03:48:00, tele=4, target=476, exp_time=1
At time 2022-05-01T03:49:00, tele=5, target=476, exp_time=1
At time 2022-05-01T03:45:00, tele=1, target=282, exp_time=1
At time 2022-05-01T03:46:00, tele=2, target=282, exp_time=1
At time 2022-05-01T03:47:00, tele=3, target=282, exp_time=1
At time 2022-05-01T03:48:00, tele=4, target=282, exp_time=1
At time 2022-05-01T03:49:00, tele=5, target=282, exp_time=1
At time 2022-05-01T03:50:00, tele=1, target=178, exp_time=1
At time 2022-05-01T03:51:00, tele=2, target=178, exp_time=1
At time 2022-05-01T03:52:00, tele=3, target=178, exp_time=1
At time 2022-05-01T03:53:00, tele=4, target=178, exp_time=1
At time 2022-05-01T03:54:00, tele=5, target=178, exp_time=1
At time 2022-05-01T03:50:00, tele=1, target=267, exp_time=1
At time 2022-05-01T03:51:00, tele=2, target=267, exp_time=1
At time 2022-05-01T03:52:00, tele=3, target=267, exp_time=1
At time 2022-05-01T03:53:00, tele=4, target=267, exp_time=1
At time 2022-05-01T03:54:00, tele=5, target=267, exp_time=1
At time 2022-05-01T03:55:00, tele=1, target=477, exp_time=1
At time 2022-05-01T03:56:00, tele=2, target=477, exp_time=1
At time 2022-05-01T03:57:00, tele=3, target=477, exp_time=1
At time 2022-05-01T03:58:00, tele=4, target=477, exp_time=1
At time 2022-05-01T03:59:00, tele=5, target=477, exp_time=1
At time 2022-05-01T03:55:00, tele=1, target=283, exp_time=1
At time 2022-05-01T03:56:00, tele=2, target=283, exp_time=1
At time 2022-05-01T03:57:00, tele=3, target=283, exp_time=1
At time 2022-05-01T03:58:00, tele=4, target=283, exp_time=1
At time 2022-05-01T03:59:00, tele=5, target=283, exp_time=1
At time 2022-05-01T04:00:00, tele=1, target=478, exp_time=1
At time 2022-05-01T04:01:00, tele=2, target=478, exp_time=1
At time 2022-05-01T04:02:00, tele=3, target=478, exp_time=1
At time 2022-05-01T04:03:00, tele=4, target=478, exp_time=1
At time 2022-05-01T04:04:00, tele=5, target=478, exp_time=1
At time 2022-05-01T04:00:00, tele=1, target=284, exp_time=1
At time 2022-05-01T04:01:00, tele=2, target=284, exp_time=1
At time 2022-05-01T04:02:00, tele=3, target=284, exp_time=1
At time 2022-05-01T04:03:00, tele=4, target=284, exp_time=1
At time 2022-05-01T04:04:00, tele=5, target=284, exp_time=1
At time 2022-05-01T04:05:00, tele=1, target=451, exp_time=1
At time 2022-05-01T04:06:00, tele=2, target=451, exp_time=1
At time 2022-05-01T04:07:00, tele=3, target=451, exp_time=1
At time 2022-05-01T04:08:00, tele=4, target=451, exp_time=1
At time 2022-05-01T04:09:00, tele=5, target=451, exp_time=1
At time 2022-05-01T04:05:00, tele=1, target=167, exp_time=1
